,Title,Subtitle,CELEX number,Current consolidated version,Latest consolidated version,LP_Legal basis,ELI,Form,EUROVOC descriptor,ECLI identifier,Subject matter,Directory code,Case-Law directory code (before Lisbon),Case-Law directory code (after Lisbon),Legal basis,Transposed legal act(s),Rectified by,Type of procedure,Collection of the document,Date of document,Date of publication,Author,Date of effect,Date of end of validity,Date of transposition,Applicant/Appellant,Defendant/Other parties to the proceedings,In force indicator,Publication Reference,Unnamed: 29,Unnamed: 6
52,Commission Regulation (EU) No 1253/2014 of 7 July 2014 implementing Directive 2009/125/EC of the European Parliament and of the Council with regard to ecodesign requirements for ventilation units  Text with EEA relevance,,32014R1253,2020-07-30,2020-07-30,,http://data.europa.eu/eli/reg/2014/1253/oj,Regulation,"EC conformity marking, technical specification, marketing standard, electrical energy, energy saving, air conditioning, eco-label, product design",,"Environment, Energy, Internal market - Principles","Energy, Industrial policy and internal market, General principles and programmes, Internal market: approximation of laws, Rational utilisation and conservation of energy, Other sectors for approximation of laws",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32009L0125,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",2014-07-07,2014-11-25,European Commission,2014-12-15,No end date,,,,True,"OJ L 337, 25/11/2014, p. 8–26
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",,
53,"Commission Regulation (EU) No 548/2014 of 21 May 2014 on implementing Directive 2009/125/EC of the European Parliament and of the Council with regard to small, medium and large power transformers",,32014R0548,2019-11-14,2019-11-14,,http://data.europa.eu/eli/reg/2014/548/oj,Regulation,"electric machinery, technical standard, energy consumption, environmental impact, EC conformity marking, energy saving, marketing standard",,"Environment, Energy","Energy, Industrial policy and internal market, General principles and programmes, Internal market: approximation of laws, Rational utilisation and conservation of energy, Other sectors for approximation of laws",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32009L0125,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",2014-05-21,2014-05-22,European Commission,2014-06-11,No end date,,,,True,"OJ L 152, 22/05/2014, p. 1–15
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",,
54,Commission Regulation (EU) No 312/2014 of 26 March 2014 establishing a Network Code on Gas Balancing of Transmission Networks  Text with EEA relevance,,32014R0312,,,,http://data.europa.eu/eli/reg/2014/312/oj,Regulation,"energy grid, energy transport, energy market, trading operation, gas supply, gas",,"Energy, Internal market - Principles","Energy, Oil and gas, Intra-Community trade",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32009R0715,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",2014-03-26,2014-03-27,European Commission,"2014-04-16, 2015-10-01",No end date,,,,True,"OJ L 91, 27/03/2014, p. 15–35
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",,
55,"Commission Regulation (EU) No 66/2014 of 14 January 2014 implementing Directive 2009/125/EC of the European Parliament and of the Council with regard to ecodesign requirements for domestic ovens, hobs and range hoods  Text with EEA relevance",,32014R0066,2017-01-09,2017-01-09,,http://data.europa.eu/eli/reg/2014/66/oj,Regulation,"technical specification, energy efficiency, eco-label, energy consumption, household electrical appliance, gas, consumer information, electrical energy, energy saving, furnace",,"Energy, Environment","Environment, consumers and health protection, Energy, Consumers, General principles and programmes, Consumer information, education and representation, Rational utilisation and conservation of energy",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32009L0125,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",2014-01-14,2014-01-31,European Commission,"2014-02-20, 2015-02-20",No end date,,,,True,"OJ L 29, 31/01/2014, p. 33–47
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",,
56,Commission Regulation (EU) No 813/2013 of 2 August 2013 implementing Directive 2009/125/EC of the European Parliament and of the Council with regard to ecodesign requirements for space heaters and combination heaters  Text with EEA relevance,,32013R0813,2017-01-09,2017-01-09,,http://data.europa.eu/eli/reg/2013/813/oj,Regulation,"heating, technical specification, eco-label, energy efficiency, environmental impact, electrical energy, energy saving",,"Environment, Energy","Energy, General principles and programmes, Rational utilisation and conservation of energy",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32009L0125,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",2013-08-02,2013-09-06,European Commission,"2018-09-26, 2015-09-26, 2013-09-26",No end date,,,,True,"OJ L 239, 06/09/2013, p. 136–161
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",,
57,Commission Regulation (EU) No 814/2013 of 2 August 2013 implementing Directive 2009/125/EC of the European Parliament and of the Council with regard to ecodesign requirements for water heaters and hot water storage tanks  Text with EEA relevance,,32013R0814,2017-01-09,2017-01-09,,http://data.europa.eu/eli/reg/2013/814/oj,Regulation,"environmental impact, energy saving, electrical energy, household electrical appliance, eco-label, energy efficiency, technical specification",,"Environment, Energy","Energy, General principles and programmes, Rational utilisation and conservation of energy",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32009L0125,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",2013-08-02,2013-09-06,European Commission,"2013-09-26, 2015-09-26, 2018-09-26, 2017-09-26",No end date,,,,True,"OJ L 239, 06/09/2013, p. 162–183
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",,
58,Commission Regulation (EU) No 666/2013 of 8 July 2013 implementing Directive 2009/125/EC of the European Parliament and of the Council with regard to ecodesign requirements for vacuum cleaners  Text with EEA relevance,,32013R0666,2017-01-09,2017-01-09,,http://data.europa.eu/eli/reg/2013/666/oj,Regulation,"product design, technical specification, energy efficiency, eco-label, environmental impact, energy saving, household electrical appliance, marketing standard",,"Environment, Energy","Energy, Environment, consumers and health protection, General principles and programmes, Consumers, Rational utilisation and conservation of energy, Consumer information, education and representation",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32009L0125,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",2013-07-08,2013-07-13,European Commission,2013-08-02,No end date,,,,True,"OJ L 192, 13/07/2013, p. 24–34
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), OJ L 192, 13/07/2013, p. 2–12
		 (HR)",,
59,Commission Regulation (EU) No 617/2013 of 26 June 2013 implementing Directive 2009/125/EC of the European Parliament and of the Council with regard to ecodesign requirements for computers and computer servers  Text with EEA relevance,,32013R0617,2020-03-01,2020-03-01,,http://data.europa.eu/eli/reg/2013/617/oj,Regulation,"environmental impact, energy saving, electrical energy, computer, product design, eco-label, network server, energy efficiency, technical specification",,"Environment, Energy","Energy, General principles and programmes, Rational utilisation and conservation of energy",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32009L0125,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",2013-06-26,"2013-06-27, 2014-10-07",European Commission,"2016-01-01, 2014-07-01, 2013-07-17","2025-05-08, No end date, 2020-03-31",,,,True,"OJ L 175, 27/06/2013, p. 13–33
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		",,
60,Commission Regulation (EU) No 543/2013 of 14 June 2013 on submission and publication of data in electricity markets and amending Annex I to Regulation (EC) No 714/2009 of the European Parliament and of the Council  Text with EEA relevance,,32013R0543,2020-01-01,2020-01-01,,http://data.europa.eu/eli/reg/2013/543/oj,Regulation,"energy transport, energy consumption, solar energy, disclosure of information, energy grid, energy production, information system, wind energy, electricity supply, electrical energy",,"Energy, Internal market - Principles","Energy, Electricity",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32009R0714,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",2013-06-14,"2013-06-15, 2014-10-07",European Commission,"2013-07-05, 2015-01-05","No end date, 2019-12-31",,,,True,"OJ L 163, 15/06/2013, p. 1–12
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		",,
61,Commission Regulation (EU) No 932/2012 of 3 October 2012 implementing Directive 2009/125/EC of the European Parliament and of the Council with regard to ecodesign requirements for household tumble driers  Text with EEA relevance,,32012R0932,2017-01-09,2017-01-09,,http://data.europa.eu/eli/reg/2012/932/oj,Regulation,"technical standard, energy consumption, eco-label, energy saving, environmental impact, household electrical appliance, consumer information",,"Energy, Environment","Energy, General principles and programmes, Rational utilisation and conservation of energy",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32009L0125,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",2012-10-03,"2012-10-12, 2013-05-24",European Commission,"2013-11-01, 2014-11-01, 2015-11-01, 2012-11-01",2025-06-30,,,,True,"OJ L 278, 12/10/2012, p. 1–10
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		",,
62,Commission Regulation (EU) No 547/2012 of 25 June 2012 implementing Directive 2009/125/EC of the European Parliament and of the Council with regard to ecodesign requirements for water pumps  Text with EEA relevance,,32012R0547,2017-01-09,2017-01-09,,http://data.europa.eu/eli/reg/2012/547/oj,Regulation,"eco-label, pump, technical specification, energy consumption, hydraulic machinery, product design, electrical energy, energy saving",,"Environment, Energy","Energy, General principles and programmes, Rational utilisation and conservation of energy",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32009L0125,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",2012-06-25,"2012-06-26, 2013-05-24",European Commission,2012-07-16,No end date,,,,True,"OJ L 165, 26/06/2012, p. 28–36
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		",,
63,Commission Regulation (EU) No 206/2012 of 6 March 2012 implementing Directive 2009/125/EC of the European Parliament and of the Council with regard to ecodesign requirements for air conditioners and comfort fans  Text with EEA relevance,,32012R0206,2017-01-09,2017-01-09,,http://data.europa.eu/eli/reg/2012/206/oj,Regulation,"environmental impact, air conditioning, energy saving, household electrical appliance, noise, product design, energy consumption, eco-label",,"Environment, Energy","Energy, General principles and programmes, Rational utilisation and conservation of energy",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32009L0125,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",2012-03-06,"2012-03-10, 2013-05-24",European Commission,"2012-03-30, 2013-01-01",No end date,,,,True,"OJ L 72, 10/03/2012, p. 7–27
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		",,
64,Commission Regulation (EU) No 327/2011 of 30 March 2011 implementing Directive 2009/125/EC of the European Parliament and of the Council with regard to ecodesign requirements for fans driven by motors with an electric input power between 125 W and 500 kW  Text with EEA relevance,,32011R0327,2017-01-09,2017-01-09,,http://data.europa.eu/eli/reg/2011/327/oj,Regulation,"environmental impact, energy saving, marketing standard, electrical equipment, energy consumption, technical regulations, eco-label",,"Environment, Approximation of laws, Energy","Energy, Industrial policy and internal market, General principles and programmes, Internal market: approximation of laws, Rational utilisation and conservation of energy, Other sectors for approximation of laws",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32009L0125,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",2011-03-30,"2011-04-06, 2013-05-24",European Commission,2011-04-26,No end date,,,,True,"OJ L 90, 06/04/2011, p. 8–21
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		",,
65,Commission Regulation (EU) No 838/2010 of 23 September 2010 on laying down guidelines relating to the inter-transmission system operator compensation mechanism and a common regulatory approach to transmission charging  Text with EEA relevance,,32010R0838,,,,http://data.europa.eu/eli/reg/2010/838/oj,Regulation,"electricity supply, market access, electrical energy, cross-border transport, energy grid, transport network",,"Energy, Internal market - Principles","Energy, Electricity",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32009R0714,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",2010-09-23,"2010-09-24, 2013-05-24",European Commission,"2011-03-03, 2010-10-14",No end date,,,,True,"OJ L 250, 24/09/2010, p. 5–11
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		",,
66,"Council Regulation (EU, Euratom) No 617/2010 of 24 June 2010 concerning the notification to the Commission of investment projects in energy infrastructure within the European Union and repealing Regulation (EC) No 736/96",,32010R0617,,,,http://data.europa.eu/eli/reg/2010/617/oj,Regulation,"electrical energy, energy policy, energy distribution, data processing, EU action, exchange of information, petroleum, European Commission, investment project, natural gas",,"Energy, Information and verification, Investments","Energy, General principles and programmes, General",,,"https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12010A187, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12010E337",,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",2010-06-24,"2010-07-15, 2012-10-20",Council of the European Union,2010-08-04,No end date,,,,True,"OJ L 180, 15/07/2010, p. 7–14
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		",,
67,Commission Regulation (EC) No 641/2009 of 22 July 2009 implementing Directive 2005/32/EC of the European Parliament and of the Council with regard to ecodesign requirements for glandless standalone circulators and glandless circulators integrated in products (Text with EEA relevance),,32009R0641,2019-11-14,2019-11-14,,http://data.europa.eu/eli/reg/2009/641/oj,Regulation,"heating, energy consumption, electric machinery, energy production, environmental protection, waste recycling, environmental impact, energy saving",,"Technical barriers, Approximation of laws, Energy","Energy, Industrial policy and internal market, General principles and programmes, Internal market: approximation of laws, Rational utilisation and conservation of energy, Other sectors for approximation of laws",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32005L0032,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",2009-07-22,"2009-07-23, 2013-01-24",European Commission,2009-08-12,No end date,,,,True,"OJ L 191, 23/07/2009, p. 35–41
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		",,
68,Commission Regulation (EC) No 107/2009 of 4 February 2009 implementing Directive 2005/32/EC of the European Parliament and of the Council with regard to ecodesign requirements for simple set-top boxes (Text with EEA relevance),,32009R0107,2017-01-09,2017-01-09,,http://data.europa.eu/eli/reg/2009/107/oj,Regulation,"energy consumption, technical standard, eco-label, electronic device, energy saving, high-definition television, pay television, marketing standard",,"Energy, Approximation of laws, Technical barriers","Energy, Industrial policy and internal market, General principles and programmes, Internal market: approximation of laws, Rational utilisation and conservation of energy, Other sectors for approximation of laws",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32005L0032,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",2009-02-04,"2009-02-05, 2013-04-23",European Commission,"2010-02-25, 2012-02-25, 2009-02-25",2025-05-08,,,,True,"OJ L 36, 05/02/2009, p. 8–14
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		",,
